69,65,67,67,67,67,65,65,3,3,1,3,3,9,5,9
76,76,69,67,67,75,76,76,7,1,2,3,9,12,12,12
76,78,12,7,67,67,72,70,3,2,3,3,2,0,10,12
70,73,68,67,65,67,64,65,3,3,1,3,3,0,9,12
69,74,68,73,76,71,74,70,67,9,12,13,13,14,12,12
76,77,14,68,66,65,67,67,73,70,8,4,0,3,10,12
76,70,3,8,69,74,69,73,70,73,76,12,4,3,1,10
68,73,5,10,78,69,74,100,105,76,76,4,8,5,2,9
76,76,12,5,75,70,73,102,106,76,76,12,4,0,9,12
76,76,12,6,3,73,70,65,67,74,76,6,10,12,12,12
76,76,4,9,7,0,67,74,69,67,2,3,11,12,12,12
68,72,12,6,9,12,7,3,10,5,9,5,3,0,0,10
76,76,6,3,2,2,11,5,3,10,12,4,3,10,4,9
76,68,3,3,3,3,9,12,5,3,2,0,3,11,12,12
76,70,3,1,1,3,2,10,12,7,9,6,3,1,8,12
94,71,3,10,6,3,3,3,2,3,2,3,3,10,14,14
