69,65,67,67,67,67,65,1,3,3,1,3,3,9,5,9
76,12,5,3,3,11,76,12,7,1,2,3,9,12,12,12
76,14,12,7,3,3,72,6,3,2,3,3,2,0,10,12
70,73,4,3,65,67,64,1,3,3,1,3,3,0,9,12
69,74,4,9,76,7,10,6,3,9,12,13,13,14,12,12
76,13,14,4,66,65,67,67,73,6,8,4,0,3,10,12
76,6,3,8,5,10,69,73,70,73,12,12,4,3,1,10
68,9,5,10,14,69,74,100,41,76,12,4,8,5,2,9
76,12,12,5,11,70,73,38,42,76,12,12,4,0,9,12
76,12,12,6,3,9,70,65,67,74,12,6,10,12,12,12
76,12,4,9,7,0,3,10,5,3,2,3,11,12,12,12
68,8,12,6,9,12,7,3,10,5,9,5,3,0,0,10
76,12,6,3,2,2,11,5,3,10,12,4,3,10,4,9
76,4,3,3,3,3,9,12,5,3,2,0,3,11,12,12
76,6,3,1,1,3,2,10,12,7,9,6,3,1,8,12
94,7,3,10,6,3,3,3,2,3,2,3,3,10,14,14
