7,3,3,1,3,3,1,3,1,3,3,1,11,7,1,9
5,1,9,12,13,5,2,3,10,5,11,6,3,3,8,12
12,12,12,12,12,6,9,13,69,66,67,67,67,73,6,8
4,2,8,12,12,5,10,68,74,7,65,67,73,70,67,72
6,9,12,12,12,6,9,76,69,67,66,11,70,67,67,74
5,2,8,12,12,5,10,76,70,67,65,3,9,5,9,13
6,9,12,12,12,6,9,70,67,73,68,65,2,8,4,8
5,10,12,12,12,5,10,37,41,76,12,68,65,2,8,12
6,9,12,12,4,10,13,38,104,76,6,8,68,65,2,8
5,10,12,4,10,5,8,7,72,70,73,6,8,68,65,10
6,9,6,10,5,10,6,9,70,73,70,73,6,8,68,73
5,2,11,5,8,5,9,6,9,70,73,70,73,6,8,76
6,9,5,10,14,12,6,9,6,9,70,73,70,73,14,76
69,66,66,73,5,2,1,2,9,6,9,70,73,70,73,76
76,69,67,74,6,3,2,3,2,3,10,7,66,67,74,76
92,68,65,65,65,65,65,65,65,65,65,65,65,65,65,72
